item_name,min_x,min_y,min_z,max_x,max_y,max_z,width,height,depth
SFI-P1507-03,-99.70050294205616,-9.616988044871487,0,309.7004969555936,306.6170118760702,0,409.4009998976498,316.2339999209417,0
SFI-P1510FP2-01,-154.5000029283563,2.230511952166037,0,364.4999969418937,294.7695118790311,0,518.99999987025,292.5389999268651,0
SFI-P1510FP2-02,-156.5000029278562,1.19527233054e-05,0,366.4999969413939,297.0000118784735,0,522.9999998692501,296.9999999257502,0
SFI-P1520-01,-133.0000029337311,-21.99998804177619,0,342.9999969472688,319.0000118729736,0,475.9999998809999,340.99999991474976,0
SFI-P1520-02,-135.0000029332313,-25.64998804086398,0,344.999996946769,322.6500118720611,0,479.99999988000025,348.2999999129251,0
SFI-P1525-01,-167.5000029251063,-6.9959880455274,0,377.499996938644,303.9960118767246,0,544.9999998637503,310.991999922252,0
SFI-P1525-02,-169.4362324049359,-9.486271798596713,0,379.5637674578141,306.505728122405,0,548.99999986275,315.9919999210017,0
SFI-P1535-01,-42.00000137838898,3.254012499186409,0,501.9999984856111,301.7460124245636,0,543.9999998640001,298.49199992537723,0
SFI-P1535-02,-38.00000137938893,1.00401249974894,0,497.9999984866114,303.9960124240007,0,535.9999998660003,302.99199992425173,0
SFI-P1550-01,-142.0875029314594,-339.181011867928,0,352.0874969449968,42.18098803673122,0,494.17499987645624,381.3619999046592,0
SFI-P1550-02,-142.4458332977218,-43.73055554462331,0,353.0541665784028,340.7694443592522,0,495.49999987612466,384.4999999038755,0
SFI-P1555-01,-199.0000029172311,-25.49998804090135,0,408.9999969307686,322.5000118720985,0,607.9999998479997,347.9999999129999,0
SFI-P1555-02,-201.0000029167314,-28.49998804015131,0,410.9999969302688,325.5000118713484,0,611.9999998470003,353.99999991149974,0
SFI-P1556-01,-180.1943332882846,1.447333332971446,0,390.8026665689659,295.9443332593473,0,570.9969998572506,294.49699992637585,0
SFI-P1556-02,-180.1953332882844,1.447333332971446,0,390.8036665689656,295.944333259347,0,570.9989998572499,294.49699992637557,0
SFI-P1556-03,-183.0000029212312,-2.999988046526654,0,392.999996934769,300.0000118777231,0,575.9999998560002,302.9999999242498,0
SFI-P1560-01,-153.5000029286062,-47.28398803545558,0,363.499996942144,344.2840118666524,0,516.9999998707501,391.567999902108,0
SFI-P1560-02,-158.3040029274054,-51.58298803438082,0,368.3039969409425,348.5830118655779,0,526.6079998683479,400.1659998999587,0
SFI-P1595-01,-231.6958332754095,-52.55416665352776,0,442.3041665560903,349.9458332458469,0,673.9999998314998,402.4999998993747,0
SFI-P1595-02,-233.750002908544,-56.24998803321408,0,443.749996922081,353.2500118644112,0,677.499999830625,409.4999998976253,0
SFI-P1595-03,-233.750002908544,-56.24998803321408,0,443.749996922081,353.2500118644112,0,677.499999830625,409.4999998976253,0
SFI-P1600-01,-183.0000029212312,-369.0000118604741,0,392.9999969347684,71.99998802927637,0,575.9999998559996,440.9999998897505,0
SFI-P1600-02,-182.0000029214812,-372.0000118597234,0,391.9999969350192,74.99998802852633,0,573.9999998565004,446.9999998882497,0
SFI-P1605-01,-237.2500029076685,-40.99998803702635,0,447.2499969212062,338.0000118682238,0,684.4999998288747,378.99999990525015,0
SFI-P1605-02,-238.6958332736595,-45.48055554418558,0,449.3041665543407,342.5194443588148,0,687.9999998280002,387.99999990300034,0
SFI-P1607-01,-172.0360029239724,-62.49798803165307,0,382.0359969375098,359.4980118628479,0,554.0719998614823,421.9959998945009,0
SFI-P1607-02,-173.3300029236489,-62.18798803173036,0,383.3299969371864,359.1880118629255,0,556.6599998608353,421.3759998946559,0
SFI-P1607-03,-178.5820029223359,-67.84248803031687,0,388.5819969358733,364.842511861512,0,567.1639998582092,432.68499989182885,0
SFI-P1607-04,-179.8350029220225,-68.73848803009301,0,389.8349969355596,365.7385118612882,0,569.6699998575821,434.4769998913812,0
SFI-P1610-01,-180.1958332882846,-73.98055553706018,0,390.8041665689659,371.0194443516897,0,570.9999998572505,444.99999988874987,0
SFI-P1610-02,-183.671802412553,-77.79912690230815,0,393.3281974431968,375.2008729844419,0,576.9999998557498,452.99999988675006,0
SFI-P1610-03,-188.0000029199811,-79.49998802740127,0,397.9999969335185,376.5000118585984,0,585.9999998534996,455.99999988599967,0
SFI-P1620-01,-188.4084477890916,-83.3628244149227,0,398.4084418026291,380.3628482461198,0,586.8168895917207,463.7256726610425,0
SFI-P1620-02,-197.5934090297249,-82.97118165380043,0,408.1045260221708,380.7544910072415,0,605.6979350518957,463.7256726610419,0
SFI-P1620-03,-197.5934090297249,-82.97118165380043,0,408.1045260221708,380.7544910072415,0,605.6979350518957,463.7256726610419,0
SFI-P1620-04,-197.7211897744521,-83.16700303436157,0,407.976745277444,380.5586696266807,0,605.6979350518961,463.72567266104227,0
